Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Duke of Wellington Avenue, Woolwich Riverside, London, SE18","£610,000",Flat,2.0,2.0,762 sq ft
"One Park Drive, London, E14","£610,000",Flat,,1.0,435 sq ft
"Meadowview Road, Raynes Park,
SW20 9BD","£610,000",Apartment,2.0,,Ask developer
"Orchard Crescent, Enfield","£610,000",Terraced,4.0,2.0,Ask agent
"Amberley Road, London, EN1","£610,000",Semi-Detached,4.0,1.0,"1,611 sq ft"
"Meadowview Road, Raynes Park,
SW20 9BD","£610,000",Apartment,2.0,,Ask developer
"Regent's View, Hackney Road, E2","£609,000",Apartment,1.0,1.0,612 sq ft
"Regents View, Hackney Road, Bethnal Green, E2","£609,000",Apartment,1.0,1.0,612 sq ft
"Hackney Rd, London","£609,000",Flat,1.0,1.0,612 sq ft
"The Ridgeway,
Mill Hill,
London,
NW7 1AA","£608,000",Apartment,2.0,,Ask developer
"DONOVAN COURT, DRAYTON GARDENS, London, SW10","£608,000",Flat,,1.0,436 sq ft
"Ridgeway Views, Mill Hill, NW7","£608,000",Flat,2.0,2.0,759 sq ft
"Adelaide Grove, London","£600,000",Maisonette,2.0,1.0,708 sq ft
"The Ridgeway, Mill Hill, London, NW7","£608,000",Apartment,2.0,2.0,759 sq ft
"Kidbrooke Village Sales & Marketing Suite, 
5 Pegler Square,
London, 
SE3 9FW","£607,500",Apartment,2.0,2.0,859 sq ft
"Dorchester Avenue, Palmers Green, N13 5DX","£606,000",Terraced,4.0,2.0,Ask agent
"Highbury Estate, N5","£606,000",Maisonette,3.0,1.0,Ask agent
"Liner House, Royal Wharf E16","£605,000",Apartment,2.0,2.0,831 sq ft
"Battersea Park Road, London","£605,000",Apartment,1.0,1.0,Ask agent
"Southland Way, Hounslow","£605,000",Terraced,4.0,2.0,"1,567 sq ft"
"Southland Way, Hounslow","£605,000",Terraced,4.0,2.0,Ask agent
"Alexandra Gate, London, N8","£605,000",Flat,2.0,2.0,677 sq ft
"Indus Road, London, SE7","£605,000",End of Terrace,4.0,2.0,Ask agent
"Chelsea Walk, London, SW10","£605,000",Flat,2.0,1.0,570 sq ft
"Southland Way, London, TW3","£605,000",Terraced,4.0,2.0,"1,567 sq ft"
"Chatsworth Court, Pembroke Road, London, W8","£605,000",Flat,1.0,1.0,452 sq ft
"1 Mary Neuner Road, 
N8 0ES","£605,000",Apartment,2.0,2.0,678 sq ft
"Alexandra Gate, Harringay, N8","£605,000",Flat,2.0,2.0,677 sq ft
"Wakemans Hill Avenue, London, NW9","£605,000",End of Terrace,3.0,1.0,Ask agent
"Poplar Riverside, 
Leven Road, 
London,
E14","£604,000",Flat,2.0,1.0,788 sq ft
"Eeko, Camden, NW1","£604,000",Apartment,1.0,1.0,646 sq ft
"Leven Road, East London, Poplar, E14, London","£604,000",Apartment,2.0,1.0,785 sq ft
"Poplar Riverside, Poplar, E14","£604,000",Flat,2.0,1.0,788 sq ft
"Cooks Road,
Stratford,
London,
E15 2PN","£603,000",Apartment,2.0,,Ask developer
"One Clapham, Battersea, SW11","£602,000",Apartment,1.0,1.0,632 sq ft
"Prime Point, Greenwich, SE10","£601,500",Apartment,2.0,2.0,785 sq ft
"Somerset Road, London, London, W13","£601,329",Apartment,1.0,1.0,Ask agent
"Battersea High Street, Battresea","£600,000",Flat,2.0,2.0,Ask agent
"Horn Lane,
North Acton,
London,
W3 0DF","£601,250",Apartment,1.0,,Ask developer
"Greville Road, 
North Maida Vale, NW6","£600,000",Flat,2.0,2.0,732 sq ft
"Thorndean Street, Earlsfield","£600,000",Flat,2.0,2.0,Ask agent
"281 Tooley Street, Shad Thames, London","£600,000",Apartment,2.0,2.0,702 sq ft
"Monohaus, London Fields, E8","£600,000",Apartment,1.0,1.0,565 sq ft
"738 Green Lanes, Winchmore Hill, London, N21 3RE","£600,000",Flat,4.0,,Ask agent
"Trinity Road, SW18","£600,000",Apartment,2.0,1.0,800 sq ft
"Sky Peals Road, Woodford Green","£600,000",Semi-Detached,3.0,1.0,Ask agent
"Gainsborough Studios South, Poole Street, London, N1","£600,000",Apartment,2.0,1.0,Ask agent
"Cubitt House, Blackfriars Road, London, SE1","£600,000",Apartment,1.0,1.0,484 sq ft
"Keston Road, Peckham, London","£600,000",,2.0,1.0,Ask agent
"Collier Street, King's Cross","£600,000",Flat,3.0,1.0,743 sq ft
"Thornton Hill, Wimbledon","£600,000",Flat,2.0,1.0,Ask agent
"St Georges Square, Pimlico, London, SW1V","£600,000",Flat,1.0,1.0,411 sq ft
"Cambridge Heath Road, Bethnal Green","£600,000",Flat,2.0,2.0,829 sq ft
"Berwick Street, Soho, London, W1F","£600,000",Flat,1.0,1.0,501 sq ft
"Kilburn Lane, Queen's Park, London, W10","£600,000",Flat,4.0,2.0,874 sq ft
"Luxor Street, SE5","£600,000",Maisonette,3.0,1.0,"1,305 sq ft"
"Carrick House, Royal Wharf, E16","£600,000",Flat,2.0,2.0,Ask agent
"Homer Drive, London, E14","£600,000",Apartment,2.0,2.0,Ask agent
"Baltimore Wharf, Canary Wharf, London, E14","£600,000",Flat,1.0,2.0,882 sq ft
"Fusion Court, 51 Sclater Street, London, E1","£600,000",Apartment,1.0,1.0,556 sq ft
"Admiral House, St George Wharf, London, SW8","£600,000",Apartment,2.0,1.0,671 sq ft
"Vauxhall Bridge Road, London, UK, SW1V","£600,000",Apartment,2.0,1.0,770 sq ft
"Harold Road, Crystal Palace, SE19","£600,000",Apartment,3.0,2.0,Ask agent
"Dunstans Road, East Dulwich, London, SE22","£600,000",Apartment,2.0,1.0,Ask agent
"East Hill, Wandsworth","£600,000",Flat,1.0,1.0,603 sq ft
Brigadier Hill,"£600,000",Semi-Detached,3.0,3.0,Ask agent
"Warwick Road, Earls Court, London, SW5","£600,000",Flat,1.0,1.0,467 sq ft
"Wallace Court, London","£600,000",Apartment,3.0,2.0,Ask agent
"Comeragh Road, West Kensington, London, W14","£600,000",Apartment,1.0,1.0,756 sq ft
"Crampton Street, Elephant and Castle, SE17","£600,000",Flat,3.0,1.0,932 sq ft
"Second Avenue, NW4","£600,000",Maisonette,4.0,2.0,"1,095 sq ft"
"Plough Road, Battersea","£600,000",Flat,1.0,1.0,635 sq ft
"Gladbeck Way, Enfield","£600,000",Semi-Detached,3.0,1.0,Ask agent
"Churchyard Row, Lambeth","£600,000",Flat,2.0,1.0,Ask agent
"Home Park Road, Wimbledon Park, London, United Kingdom, SW19","£600,000",Apartment,2.0,1.0,690 sq ft
"Stiles West, Colliers Wood, SW19","£600,000",Apartment,2.0,1.0,774 sq ft
"East Hill, Wandsworth, SW18","£600,000",Apartment,1.0,1.0,557 sq ft
"Gainsborough Studios South, 1 Poole Street, Islington, London, N1","£600,000",Apartment,2.0,2.0,802 sq ft
"Landcroft Road, East Dulwich, London, SE22","£600,000",Apartment,2.0,1.0,Ask agent
"Copperlight Apartments, 16 Buckhold Road, London, SW18","£600,000",Apartment,2.0,2.0,762 sq ft
"Harold Road, Crystal Palace, London, SE19","£600,000",Flat,3.0,2.0,910 sq ft
"Hampton Apartments, Duke of Wellington Avenue, Woolwich, London, SE18","£600,000",Apartment,2.0,2.0,809 sq ft
"Prince Albert Road, North, London, NW1","£600,000",House Boat,2.0,2.0,Ask agent
"Sulgrave Road, Shepherds Bush","£600,000",Flat,2.0,1.0,Ask agent
"6 Ashmore Road, Greenwich, London, SE18","£600,000",Apartment,3.0,2.0,"1,119 sq ft"
"Brixton Hill, London, SW2","£600,000",Apartment,2.0,2.0,845 sq ft
"Scott Avenue, London, SW15","£600,000",Apartment,2.0,2.0,Ask agent
"Philbeach Gardens, London","£600,000",Flat,1.0,1.0,Ask agent
"Sheen Road, Richmond","£600,000",Flat,2.0,1.0,Ask agent
Beckway Road,"£600,000",Terraced,3.0,1.0,Ask agent
"Walm Lane, London, NW2","£600,000",Flat,2.0,1.0,Ask agent
"Lowfield Road, West Hampstead","£600,000",Flat,2.0,1.0,Ask agent
"Palmerston Road, London","£600,000",Terraced,4.0,1.0,"1,180 sq ft"
"5 Bowen Drive, London","£600,000",Apartment,3.0,2.0,Ask agent
"Myddleton Road, Bounds Green, N22","£600,000",Terraced,3.0,2.0,Ask agent
"Elizabeth Avenue, Enfield","£600,000",End of Terrace,3.0,2.0,Ask agent
"Sophora House, Visa Chelsea Bridge, London, SW11","£600,000",Apartment,1.0,1.0,566 sq ft
"Roberts Court, 
Essex Road, N1","£600,000",Flat,2.0,1.0,Ask agent
"Apartment B404 Port East, 26 Hertsmere Road, London, E14 4AY","£600,000",Apartment,2.0,2.0,"1,000 sq ft"
"Essendine Mansions, Maida Vale, W9","£600,000",Flat,1.0,1.0,432 sq ft
"Bromley Road, London, SE6","£600,000",Flat,,,Ask agent
"Oval Village, Vauxhall, SE11","£600,000",Flat,,2.0,431 sq ft
"Hormead Road, 
Maida Vale, W9","£600,000",House,2.0,1.0,580 sq ft
"Tufton Road, London","£600,000",Semi-Detached,4.0,2.0,Ask agent
"Carmalt Gardens, Putney","£600,000",Flat,2.0,1.0,Ask agent
"Randall Avenue, London, NW2","£600,000",End of Terrace,3.0,1.0,Ask agent
"Haverstock Hill, 
Belsize Park, NW3","£600,000",Flat,2.0,1.0,Ask agent
"White Hart Lane , Barnes , SW","£600,000",Flat,1.0,1.0,Ask agent
"Glade Path, Southwark","£600,000",Flat,1.0,1.0,Ask agent
"Constitution Rise, London, SE18","£600,000",Bungalow,3.0,3.0,Ask agent
"Nether Street, London, N3","£600,000",Apartment,2.0,1.0,812 sq ft
Marsh Wall London E14,"£600,000",Flat,1.0,1.0,Ask agent
"Rosebank Road, London, W7","£599,950",Flat,2.0,1.0,904 sq ft
"Wormholt Road, Shepherd's Bush, London, W12","£600,000",Flat,2.0,1.0,687 sq ft
"Grove Road, South Woodford, London E18 2JY","£600,000",End of Terrace,3.0,1.0,Ask agent
"Bedford Road, Clapham","£600,000",Flat,2.0,2.0,Ask agent
"Fernhead Road, London, W9","£600,000",Apartment,2.0,1.0,711 sq ft
"Chancery Building, Nine Elms, Wandsworth, SW11","£600,000",Apartment,1.0,1.0,Ask agent
"Ormonde Terrace, St John's Wood, London, NW8","£600,000",Apartment,1.0,1.0,531 sq ft
"Capital East Apartments, Western Gateway, London, E16","£600,000",Apartment,2.0,2.0,Ask agent
"Old Bethnal Green Road, Bethnal Green","£600,000",Apartment,2.0,1.0,Ask agent
"Sydenham Park Road, London, SE26","£600,000",Detached,2.0,,Ask agent
"Grafton Road, London","£600,000",Flat,2.0,1.0,Ask agent
"17 Faraday Road, London, W10","£600,000",Flat,1.0,1.0,Ask agent
"Spencer Hill, Wimbledon, London, SW19","£600,000",Flat,2.0,2.0,748 sq ft
"Lee Terrace, London, SE13","£600,000",Apartment,2.0,2.0,818 sq ft
"The Cube, Penry Street, London, SE1","£600,000",Apartment,2.0,,931 sq ft
"Drakefell Road, Telegraph Hill, SE14","£600,000",Apartment,2.0,1.0,Ask agent
"Gunter Grove, 
Chelsea, SW10","£600,000",Flat,2.0,1.0,538 sq ft
"Swiftstone Tower, Peartree Way, London, SE10 0GT","£600,000",Flat,2.0,2.0,"1,089 sq ft"
"Portobello Square, Faraday Road, W10","£600,000",Apartment,1.0,1.0,Ask agent
"Village Way, London, NW10","£600,000",Semi-Detached,3.0,1.0,Ask agent
"Bentworth Road, Shepherds Bush","£600,000",Flat,2.0,1.0,Ask agent
"Ryecroft Road, Streatham","£600,000",Flat,3.0,1.0,Ask agent
"Eardley Road, London","£600,000",Flat,3.0,2.0,786 sq ft
"Hanover Road, London, N15","£600,000",Terraced,3.0,1.0,856 sq ft
"Reed Place, London, SW4","£600,000",Apartment,2.0,2.0,964 sq ft
Crystal Palace Park Road Sydenham,"£600,000",Apartment,3.0,2.0,Ask agent
"Burton Road, London, SW9","£600,000",Apartment,3.0,2.0,Ask agent
"Broadfield Gardens, London, NW6","£600,000",Flat,3.0,2.0,Ask agent
"Lexham Gardens, 
Kensington, W8","£600,000",Flat,1.0,1.0,439 sq ft
"Makers Yard, Copal House, London, E16","£600,000",Apartment,3.0,2.0,926 sq ft
"Norbury Crescent, Norbury","£600,000",Terraced,3.0,2.0,Ask agent
"Mayday Gardens, London, SE3","£600,000",Semi-Detached,6.0,3.0,Ask agent
"Heyford Avenue, Vauxhall, London, SW8","£600,000",Flat,3.0,2.0,835 sq ft
"Film Square, Marlowe Road, London E17","£600,000",Apartment,3.0,,944 sq ft
"Beckwith Close, Enfield","£600,000",Terraced,3.0,2.0,"1,318 sq ft"
"Courthouse Way, 
Wandsworth, SW18","£600,000",Flat,2.0,1.0,797 sq ft
"Wood Close, London, NW9","£600,000",House,3.0,1.0,Ask agent
"Shelsley House, Isleworth, TW7","£600,000",Flat,3.0,2.0,Ask agent
"Hollamby House, Robson Road","£600,000",Apartment,3.0,2.0,850 sq ft
"Duchy Street, South Bank","£600,000",Flat,3.0,1.0,Ask agent
"Aldbourne Road, Shepherd's Bush, London, W12","£600,000",Flat,2.0,1.0,653 sq ft
"Oval Village, Kennington Lane, SE11","£600,000",Apartment,1.0,1.0,Ask agent
"Queensland Road, Islington, London, N7","£600,000",Flat,2.0,2.0,851 sq ft
"Melrose Avenue, London, SW16","£600,000",End of Terrace,3.0,2.0,Ask agent
"Tarranbrae, Brondesbury Park, London, NW6","£600,000",Flat,3.0,1.0,938 sq ft
"Kenilworth Crescent, Enfield, EN1","£600,000",End of Terrace,3.0,1.0,Ask agent
"Vernham Road, Plumstead","£600,000",Terraced,4.0,1.0,Ask agent
"Lucan Path, Hoxton","£600,000",Flat,1.0,1.0,Ask agent
"Richmond Way, London, W14","£600,000",Apartment,1.0,1.0,Ask agent
"Brook Road, London, NW2","£600,000",Terraced,4.0,2.0,Ask agent
"Peary Place, London","£600,000",Flat,2.0,1.0,Ask agent
"Water Gardens Square, Surrey Quays","£600,000",Flat,2.0,2.0,Ask agent
"Alexandra Park Road, London, N10","£600,000",Character Property,2.0,1.0,772 sq ft
"Carrara Close, Brixton","£600,000",End of Terrace,4.0,1.0,Ask agent
"Flour Millers House, New Village Avenue, London, E14","£600,000",Apartment,2.0,2.0,"1,015 sq ft"
"Albion Road, Twickenham","£600,000",Terraced,2.0,1.0,605 sq ft
"Camden High Street, Camden","£600,000",Apartment,1.0,1.0,Ask agent
"Grange Park, Ealing","£600,000",Flat,2.0,2.0,Ask agent
"Lockgate Close, London, E9","£600,000",Terraced,2.0,1.0,Ask agent
"Graeme Road, Enfield","£600,000",Semi-Detached,3.0,1.0,Ask agent
"Nightingale Road, Bounds Green, London, N22","£600,000",Semi-Detached,2.0,1.0,Ask agent
"Moorhen Drive, Hendon, NW9","£600,000",Duplex,3.0,3.0,Ask agent
"Nether Street, London, N3","£600,000",Apartment,2.0,1.0,Ask agent
"Forge Square, London, E14","£600,000",Apartment,2.0,2.0,Ask agent
"Carmalt Gardens, Putney, London, SW15","£600,000",Apartment,2.0,1.0,907 sq ft
"Wandsworth Bridge Road, Fulham, London, SW6","£600,000",Flat,2.0,1.0,786 sq ft
"Beaufort Square, London, NW9","£600,000",Apartment,2.0,2.0,743 sq ft
"The Water Gardens, Paddington, W2","£600,000",,2.0,2.0,Ask agent
"Copland Court, Durham Wharf Drive, Brentford, TW8.","£600,000",Apartment,2.0,2.0,Ask agent
"Lilestone House, Frampton Street, St John's Wood, London, NW8","£600,000",Flat,3.0,1.0,791 sq ft
"Parry Road, South Norwood","£600,000",Terraced,4.0,2.0,Ask agent
"Baker Street, London, NW1","£600,000",Apartment,1.0,1.0,Ask agent
"Howarth Road, Abbey Wood, London SE2 0UW","£600,000",Terraced,3.0,1.0,"1,227 sq ft"
"Church Lane, Tooting","£600,000",Flat,2.0,2.0,Ask agent
"Lexham Gardens , Kensington, London, Royal Borough of Kensington and Chelsea, W8","£600,000",Studio,,1.0,423 sq ft
"Lonsdale Drive, Enfield, EN2","£600,000",End of Terrace,3.0,2.0,Ask agent
"Pan Peninsula Square, London, E14","£600,000",Flat,1.0,1.0,592 sq ft
"Mile End Road, Whitechapel, E1","£600,000",Flat,2.0,2.0,743 sq ft
"Rochester Place, Camden, London, NW1","£600,000",Flat,1.0,1.0,603 sq ft
"Chelmsford Road, London, N14","£600,000",Terraced,2.0,2.0,889 sq ft
"Shrewsbury Road, Forest Gate, E7","£600,000",Terraced,3.0,1.0,"1,388 sq ft"
"Southbrook Road, London, SW16","£600,000",Terraced,3.0,1.0,Ask agent
"White Hart Lane, Little Chelsea, Barnes, SW13","£600,000",Apartment,2.0,1.0,Ask agent
"Queensland Road, 
Islington, N7","£600,000",Flat,2.0,1.0,Ask agent
"146 Downhills Park Road, Tottenham, London, N17","£600,000",End of Terrace,3.0,1.0,Ask agent
"Kildoran Road, London, SW2","£600,000",Apartment,2.0,1.0,Ask agent
"Church Road, London, SE19","£600,000",Apartment,2.0,2.0,Ask agent
"St. Katharines Way, Wapping, E1W","£600,000",Flat,3.0,1.0,800 sq ft
"Robin Lane, London","£600,000",Bungalow,3.0,2.0,Ask agent
"New Providence Wharf, Canary Wharf, London, E14","£600,000",Flat,2.0,2.0,808 sq ft
"Alexandra Drive, Crystal Palace","£600,000",Maisonette,4.0,2.0,Ask agent
"Upton Lane, London","£600,000",Semi-Detached,6.0,2.0,"1,426 sq ft"
"1 Cording Street, Poplar, London, E14","£600,000",Flat,3.0,3.0,"1,190 sq ft"
"Club 45, Pan Peninsula, Canary Wharf, E14","£600,000",Apartment,1.0,1.0,Ask agent
"Barnet, Barnet, EN4","£600,000",Semi-Detached Bungalow,4.0,1.0,"1,334 sq ft"
"Gleneldon Road, Streatham Hill, London, SW16","£600,000",Flat,2.0,1.0,820 sq ft
"Golders Green Road, London, NW11","£600,000",Flat,2.0,2.0,Ask agent
"Lordship Lane, East Dulwich, London, SE22","£600,000",Maisonette,3.0,2.0,Ask agent
"Casterbridge, Notting Hill, W11","£600,000",Maisonette,2.0,1.0,829 sq ft
"Grantock Road, Walthamstow, London, E17","£600,000",Semi-Detached,3.0,1.0,Ask agent
"Harrow Road, London","£600,000",Terraced,2.0,1.0,Ask agent
"Blackfriars Road, Southwark","£600,000",Flat,1.0,1.0,Ask agent
"Carmalt Gardens, Putney, London, SW15","£600,000",Flat,2.0,1.0,898 sq ft
"Chiswick High Road, London, W4","£600,000",Flat,2.0,2.0,Ask agent
"Melbury Drive, London","£600,000",Terraced,3.0,1.0,Ask agent
"Queensmere Road, London, SW19","£600,000",Apartment,2.0,1.0,Ask agent
"Caversham Road, Kentish Town","£600,000",Flat,2.0,1.0,Ask agent
"Cooper Building, 36 Wharf Road, London, N1","£600,000",Flat,1.0,1.0,742 sq ft
"Stanlake Road, London, W12","£600,000",Apartment,2.0,1.0,Ask agent
"Newnton Close, London, N4","£600,000",Apartment,1.0,1.0,580 sq ft
"Kenwyn Drive, Gladstone Park, London, NW2","£600,000",Semi-Detached,4.0,2.0,"1,536 sq ft"
"2 Brisbane Road, Leyton, London, E10","£600,000",Apartment,2.0,2.0,930 sq ft
"Nelson Walk, London, E3","£600,000",Apartment,4.0,2.0,"1,120 sq ft"
"Kings Road, London, SW3","£600,000",Apartment,1.0,1.0,Ask agent
"Enterprise Way, Wandsworth, SW18","£600,000",Flat,2.0,2.0,797 sq ft
"Hortensia Road, London","£600,000",Flat,1.0,1.0,Ask agent
"Mile End Road, London, E1","£600,000",Apartment,2.0,1.0,719 sq ft
"81 Plough Lane, London, SW17","£600,000",Apartment,2.0,2.0,Ask agent
"Danson Mews, London, SE17","£600,000",Maisonette,1.0,1.0,Ask agent
"Candlemakers Apartments, York Road, Battersea, London, SW11","£600,000",Flat,2.0,2.0,831 sq ft
"Queenstown Road, 
Diamond Conservation Area, SW8","£600,000",Flat,2.0,1.0,682 sq ft
"Redcross Way, Borough, London, SE1","£600,000",Flat,2.0,1.0,722 sq ft
"Windmill Walk, London","£600,000",Apartment,3.0,1.0,762 sq ft
"Aston Street, London","£600,000",Flat,2.0,2.0,775 sq ft
"Seven Sisters Road, London","£600,000",Flat,3.0,1.0,Ask agent
"Queensthorpe Mews, Queensthorpe Road, London","£600,000",House,2.0,1.0,Ask agent
"Banning Street, Greenwich, London, SE10","£600,000",Flat,3.0,2.0,Ask agent
"Wrottesley Road, Kensal Rise, NW10","£600,000",Flat,2.0,1.0,Ask agent
"Pomeroy Street, 
New Cross Gate, SE14","£600,000",Flat,3.0,1.0,887 sq ft
"North Side Wandsworth Common, 
Battersea, SW18","£600,000",Flat,2.0,2.0,644 sq ft
"Bartholomew Square, London, EC1V","£600,000",Apartment,2.0,2.0,590 sq ft
"Cutter Lane, London","£600,000",Flat,1.0,1.0,554 sq ft
"Bracklyn Street, Islington, LONDON, N1","£600,000",Flat,1.0,1.0,658 sq ft
"Milton Grove, London, N11","£600,000",End of Terrace,3.0,2.0,"1,055 sq ft"
"Brondesbury Villas, London, NW6","£600,000",Flat,3.0,2.0,913 sq ft
"Central Park Road, East Ham, London, E6","£600,000",Terraced,3.0,1.0,"1,038 sq ft"
"Frazer Nash Close, Isleworth","£600,000",Flat,3.0,2.0,"1,100 sq ft"
"Coleshill Road, Teddington","£600,000",Apartment,2.0,2.0,"1,206 sq ft"
"Stevenage Road, London, SW6","£600,000",Apartment,1.0,1.0,679 sq ft
"City Harbour, 
8 Selsdon Way, E14","£600,000",Flat,2.0,2.0,940 sq ft
"Station Parade, Balham High Road","£600,000",Flat,2.0,2.0,Ask agent
"Windsor Walk, London, SE5","£600,000",Apartment,2.0,2.0,830 sq ft
"Harringay Road, Harringay, London, N15","£600,000",Semi-Detached,2.0,2.0,Ask agent
One Bedroom Apartment - West End Quay - W2,"£600,000",Flat,1.0,1.0,Ask agent
"Bolingbroke Road, London W14","£600,000",Flat,1.0,1.0,Ask agent
"Barretts Grove, Hackney","£600,000",Flat,2.0,1.0,Ask agent
"Richmond Hill, London, TW10","£600,000",Maisonette,2.0,,Ask agent
"Lonsdale Drive, Enfield, EN2","£600,000",End of Terrace,3.0,2.0,Ask agent
"Sparkford Gardens, London","£600,000",Flat,2.0,2.0,Ask agent
"City Harbour, Selsdon Way, Canary Wharf, E14","£600,000",Apartment,2.0,2.0,950 sq ft
"Alexandra Park Road,  London,  N22, Alexandra Park Road,  London,  N22, N22","£600,000",Flat,1.0,1.0,582 sq ft
"West Grove, Greenwich","£600,000",Detached,3.0,2.0,Ask agent
"Grange Road, London","£600,000",Apartment,2.0,2.0,Ask agent
"Hurst Avenue, Chingford","£600,000",End of Terrace,4.0,1.0,"1,294 sq ft"
"Conway Street, Fitzrovia & Covent Garden","£600,000",Flat,1.0,1.0,Ask agent
"Wick Lane, London","£600,000",Flat,2.0,1.0,Ask agent
"Chiswick Green, London, W4","£600,000",Flat,1.0,1.0,579 sq ft
"Ridgmount Gardens, WC1","£600,000",Apartment,2.0,1.0,596 sq ft
"Glenfarg Road, Catford, SE6","£600,000",House,3.0,2.0,980 sq ft
"Westbourne Terrace, London, W2","£600,000",Flat,1.0,1.0,606 sq ft
"Quicks Road, Wimbledon","£600,000",Flat,2.0,1.0,Ask agent
"Southwark Bridge Road, Southwark","£600,000",Flat,1.0,1.0,Ask agent
"Kellett Road, London, SW2","£600,000",Apartment,3.0,1.0,946 sq ft
"Maxted Road, Peckham","£600,000",Maisonette,2.0,1.0,Ask agent
"Chronicle Tower, City Road, London EC1V","£600,000",Apartment,1.0,1.0,580 sq ft
"Midmoor Road, Balham","£600,000",Maisonette,3.0,1.0,Ask agent
"Munster Road, Teddington","£600,000",Flat,3.0,1.0,Ask agent
"Tamworth Street, Fulham","£600,000",Flat,2.0,1.0,Ask agent
"Shad Thames, London, SE1","£600,000",Apartment,1.0,1.0,620 sq ft
"Royal Drive, London","£600,000",Apartment,2.0,2.0,870 sq ft
"Hancock Road, London, SE19","£600,000",End of Terrace,3.0,1.0,Ask agent
"Upper Richmond Road West, East Sheen","£600,000",Maisonette,4.0,2.0,Ask agent
"Harold Road, Crystal Palace","£600,000",Flat,3.0,2.0,Ask agent
"Mascotts Close, NW2, Gladstone Park, London, NW2","£600,000",Flat,3.0,1.0,860 sq ft
"Haig Road West, Plaistow","£600,000",House,5.0,2.0,Ask agent
"Lillie Road, Fulham, London, SW6","£600,000",Flat,2.0,1.0,709 sq ft
"Milton Grove, London, N11","£600,000",End of Terrace,3.0,1.0,Ask agent
"Oakley Crescent, London, EC1V","£600,000",Flat,2.0,2.0,Ask agent
