Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Kensington High Street, London, W14","£820,000",Apartment,1.0,2.0,770 sq ft
"Kidderpore Avenue, Hampstead, London, NW3","£819,500",Flat,1.0,1.0,546 sq ft
"Sales Gallery,
Orchard Place,
London,
E14 0JZ","£817,500",Apartment,2.0,2.0,880 sq ft
"Waterman Way, Wapping","£815,000",Terraced,2.0,1.0,Ask agent
"Nine Elms, London, SW2 1GQ","£815,000",Apartment,1.0,1.0,630 sq ft
"Meadowview Road, Raynes Park,
SW20 9BD","£815,000",End of Terrace,3.0,,Ask developer
"Meadowview Road, Raynes Park,
SW20 9BD","£815,000",End of Terrace,3.0,,Ask developer
"Sitka House, 20 Quebec Way, London, SE16","£815,000",Apartment,2.0,2.0,"1,001 sq ft"
"Railton Road, London, SE24","£815,000",Terraced,3.0,1.0,875 sq ft
"Distillery Wharf Parr's Way, London, W6 9","£815,000",Apartment,1.0,1.0,541 sq ft
"The Brentford Project, 
Catherine Wheel Road,
London, 
TW8 8BD","£815,000",Apartment,2.0,2.0,936 sq ft
"Tapestry Apartments, Kings Cross, Canal Reach, London, N1C","£815,000",Apartment,1.0,1.0,Ask agent
"8 To Central, 
51 The Mall, W5","£815,000",Flat,2.0,2.0,754 sq ft
"Canary Wharf,
London, 
E14 9QG","£815,000",Apartment,1.0,1.0,801 sq ft
"Wyndham Street, Marylebone, W1H","£815,000",Apartment,2.0,2.0,570 sq ft
"Bury Street West, London, N9","£815,000",Detached,4.0,,"1,637 sq ft"
"Chiswick Green, Chiswick High Road, W4","£815,000",Apartment,1.0,1.0,668 sq ft
"Clapham Park Marketing Suite,
107 Clarence Avenue,
London,
SW4 8FR","£815,000",Apartment,3.0,,Ask developer
"Lichfield Grove, Finchley","£815,000",Semi-Detached,3.0,2.0,Ask agent
"Somerset Road, Ealing, London, W13","£815,000",Flat,2.0,2.0,917 sq ft
"8 Habord Square, Canary Wharf, London, E14","£815,000",Flat,1.0,1.0,801 sq ft
"27 Errington House, Brigade Court, SE1","£811,200",Apartment,1.0,1.0,570 sq ft
"Wendover Road, London NW10","£815,000",Terraced,3.0,1.0,Ask agent
"Carlingford Road, Hampstead, NW3","£815,000",Apartment,2.0,2.0,Ask agent
"Lower Sloane Street, London, SW1W","£815,000",Apartment,1.0,1.0,597 sq ft
"Dollis Hill Lane, London, NW2","£815,000",Semi-Detached,5.0,3.0,Ask agent
"Wyndham Street, London, W1H","£815,000",Flat,2.0,2.0,570 sq ft
"Central Avenue,
London,
SW6 2QE","£815,000",Retirement Property,2.0,2.0,864 sq ft
"Cleveland Street, Fitzrovia, W1","£815,000",Apartment,2.0,1.0,522 sq ft
"Hoxton House, Penn Street, London N1","£815,000",Apartment,2.0,2.0,818 sq ft
"Canary Wharf,
London, 
E14 9QG","£815,000",Apartment,1.0,1.0,801 sq ft
"Buckingham Road, London, NW10","£815,000",Terraced,3.0,1.0,Ask agent
"Eagle House, St John's Wood Terrace, London, NW8","£815,000",Apartment,2.0,2.0,742 sq ft
"Sky Gardens, Wandsworth Road, Nine Elms, SW8","£814,640",Apartment,2.0,2.0,731 sq ft
"Lincoln Apartments, Lincoln, W12","£814,000",,1.0,1.0,570 sq ft
"Broadfield Lane, London, NW1","£813,400",Apartment,3.0,2.0,Ask agent
"Damac Tower, London, SW8","£812,000",,1.0,1.0,632 sq ft
"Bermondsey Heights, 
227-255 Ilderton Road, SE15","£812,000",Flat,3.0,3.0,942 sq ft
"Old Kent Road, Elephant and Castle, London, SE1","£810,000",Flat,3.0,2.0,"1,352 sq ft"
"Ottley Drive, London, SE3","£810,000",Terraced,3.0,2.0,"1,389 sq ft"
"Kings Tower, Chelsea Creek, SW6","£810,000",Apartment,1.0,1.0,626 sq ft
"Barley Lane, Stratford, E15","£810,000",Apartment,3.0,2.0,Ask agent
"27 Albert Embankment, London, SE1","£810,000",Flat,1.0,1.0,583 sq ft
"Mayfield Gardens, Hanwell","£810,000",House,4.0,2.0,Ask agent
"Duke of Wellington Avenue, Woolwich, SE18","£810,000",Apartment,3.0,2.0,Ask agent
"Radnor Terrace, Kensington, London, W14","£800,000",Flat,1.0,1.0,575 sq ft
"The Ariel, Television Centre, 101 Wood Lane, London, W12","£810,000",Apartment,1.0,1.0,554 sq ft
"Sterling Way, London","£810,000",Apartment,2.0,2.0,Ask agent
"Claude Road, Leyton","£810,000",Terraced,4.0,2.0,"1,345 sq ft"
"Sun Street, London, EC2A","£810,000",Apartment,1.0,1.0,574 sq ft
"Drayton Road, London, NW10","£810,000",Semi-Detached,3.0,1.0,Ask agent
"St. Marys Avenue, Teddington","£810,000",House,3.0,,Ask agent
"Parkside Apartments, Chelsea Bridge Wharf, London, SW11","£810,000",Flat,1.0,1.0,680 sq ft
"Sun Street, London, EC2A","£810,000",Apartment,1.0,1.0,543 sq ft
"Parkside Collection, 348 Queenstown Road, London, SW11","£810,000",Apartment,1.0,1.0,680 sq ft
"New Tannery Way, London","£810,000",Apartment,2.0,2.0,Ask agent
"Charlotte Court, Bermondsey, SE1","£810,000",Flat,3.0,2.0,"1,332 sq ft"
"Barley Lane, London, E15","£810,000",Flat,3.0,2.0,"1,098 sq ft"
"Cascade Way, White City, W12","£810,000",Apartment,1.0,,551 sq ft
"The Ridgeway, Acton, W3","£810,000",Terraced,3.0,1.0,"1,061 sq ft"
"The Ariel, Television Centre, Wood Lane, London, W12","£810,000",Apartment,1.0,1.0,554 sq ft
"Prices Mews, London, N1","£810,000",Barn Conversion,2.0,1.0,Ask agent
"101 Wood Ln, London, W12","£810,000",Flat,1.0,1.0,554 sq ft
"Park West, Edgware Road, Paddington, Marble Arch, London, W2 2QJ","£809,995",Apartment,2.0,2.0,Ask agent
"Hoppett Road, London","£808,500",Semi-Detached,5.0,3.0,"1,861 sq ft"
"Harcourt Gardens, South Quay Plaza, E14","£807,500",Apartment,1.0,1.0,637 sq ft
"Chelsea Riverview, Chelsea, SW6","£805,000",Apartment,1.0,1.0,570 sq ft
"Caversham Road, Kentish Town, NW5","£805,000",Town House,2.0,2.0,Ask agent
"Hebden Place, Nine, London, SW8","£805,000",Apartment,2.0,2.0,868 sq ft
"Parkhurst Road, Holloway, London, N7","£805,000",Flat,2.0,2.0,784 sq ft
"Worship Street, Shoreditch, London, EC2A","£800,000",Flat,1.0,1.0,521 sq ft
"Westmont Club Residences, White City, W12","£805,000",Flat,1.0,1.0,546 sq ft
"Priory Road, South Hampstead","£800,000",Flat,2.0,1.0,Ask agent
"Owen Street, Islington","£800,000",Flat,2.0,2.0,Ask agent
"Holland Road, London W14","£800,000",Flat,2.0,2.0,784 sq ft
"Pepper Street, 
Millwall, E14","£800,000",Flat,3.0,2.0,865 sq ft
"Narrow Street, Limehouse","£800,000",Flat,2.0,2.0,Ask agent
"Bury Street West, London","£800,000",End of Terrace,4.0,2.0,"1,800 sq ft"
"Westmont Club Residences, Wood Lane, W12","£800,000",Apartment,1.0,1.0,Ask agent
"Oh So Close, Somerset Road, Ealing","£800,000",Apartment,3.0,2.0,927 sq ft
"The Mall, London","£800,000",Flat,2.0,2.0,Ask agent
"Red Square, Carysfort Road, Stoke Newington, N16","£800,000",Flat,2.0,2.0,Ask agent
"Giles House, Forrester Way, London E15","£800,000",Apartment,3.0,2.0,Ask agent
"Bellwether Lane, Wandsworth","£800,000",Flat,1.0,1.0,Ask agent
"Rookwood Gardens, London, E4","£800,000",Detached,4.0,2.0,Ask agent
"Richmond Hill Court, Richmond Hill, Richmond, TW10","£800,000",Flat,2.0,1.0,Ask agent
"Douglas Avenue, London, E17","£800,000",End of Terrace,3.0,3.0,Ask agent
"Milton Avenue, East Ham, London, E6","£800,000",House,4.0,2.0,"1,516 sq ft"
"Shore Place, London, E9","£800,000",Apartment,3.0,2.0,851 sq ft
"Lanson Building, Chelsesa Bridge Wharf, Queenstown Road, London SW11","£800,000",Flat,2.0,2.0,814 sq ft
"Holders Hill Avenue, Hendon, London","£800,000",Semi-Detached,4.0,1.0,Ask agent
"Maltings Place, London Bridge","£800,000",Flat,2.0,2.0,Ask agent
"Kensington High Street, Kensington, London, W14","£800,000",Flat,2.0,1.0,764 sq ft
"Royal Drive, LONDON, N11","£800,000",Flat,4.0,2.0,"1,515 sq ft"
"Schooner Road, Royal Wharf, E16","£800,000",Apartment,4.0,2.0,"1,410 sq ft"
"Streatley Road, London, NW6","£800,000",Flat,2.0,1.0,845 sq ft
"Sulgrave Road, Hammersmith","£800,000",Flat,2.0,2.0,Ask agent
"Coleherne Road, London, SW10","£800,000",Flat,2.0,1.0,768 sq ft
"High Street, London, SE25","£800,000",Apartment,5.0,2.0,Ask agent
"The Quadrangle, London, W2","£800,000",Apartment,2.0,2.0,"1,050 sq ft"
"St. Dunstans House, Chancery Lane, EC4A","£800,000",Flat,1.0,1.0,679 sq ft
"Denmark Road, Twickenham, TW2","£800,000",Bungalow,3.0,1.0,Ask agent
"Lake Road, Wimbledon Village, London, SW19","£800,000",Flat,2.0,1.0,936 sq ft
"Copper Street, Stratford, London, E20","£800,000",Flat,3.0,2.0,"1,124 sq ft"
"Albert Embankment, 
Albert Embankment, SE1","£800,000",Flat,2.0,2.0,Ask agent
"Avenue Road, London, N14","£800,000",Semi-Detached,3.0,1.0,"1,442 sq ft"
"Queens Avenue, London","£800,000",Semi-Detached,3.0,1.0,Ask agent
"Rathfern Road, London","£800,000",House,5.0,2.0,Ask agent
"Esther Anne Place, Islington Square, London, N1","£800,000",Apartment,1.0,1.0,613 sq ft
"Brookdale Road, London, SE6 4JP","£800,000",End of Terrace,3.0,1.0,"1,311 sq ft"
"Chilton Street, London, E2","£800,000",Apartment,2.0,2.0,"1,060 sq ft"
"Harringay Road, London, N15","£800,000",End of Terrace,3.0,1.0,Ask agent
"Western Gateway, London, E16","£800,000",Duplex,2.0,2.0,"1,246 sq ft"
"Harper Mews, Earlsfield","£800,000",House,3.0,2.0,Ask agent
"Alaska Buildings, Southwark, London, SE1","£800,000",Flat,2.0,1.0,"1,083 sq ft"
"Edgware Road, Marylebone, W2","£800,000",Apartment,2.0,2.0,707 sq ft
"Vaughan Way, Wapping, E1W 2AG","£800,000",Apartment,1.0,1.0,548 sq ft
"Sandtoft Road, SE7","£800,000",Terraced,4.0,2.0,"1,211 sq ft"
"Cutter Lane, Greenwich","£800,000",Flat,2.0,1.0,Ask agent
"Buchanan Gardens, Kensal Rise","£800,000",Flat,3.0,2.0,Ask agent
"Lowther Drive, Enfield","£800,000",Detached,3.0,1.0,"1,479 sq ft"
"Grosvenor Street, Mayfair","£800,000",Flat,1.0,1.0,Ask agent
"Oakwood Park Road, London, N14","£800,000",Semi-Detached,3.0,1.0,"1,150 sq ft"
"Orde Hall Street, Holborn","£800,000",Flat,3.0,1.0,Ask agent
"Wellington House, Buckingham Gate, London, SW1E","£800,000",Apartment,1.0,1.0,551 sq ft
"Woodland Close, Kingsbury, London, NW9","£800,000",Semi-Detached,3.0,1.0,"1,251-1,252 sq ft"
"Hillside Court, 
Finchley Road, NW3","£800,000",Flat,3.0,2.0,Ask agent
"Molasses House, 
Clove Hitch Quay, SW11","£800,000",Flat,2.0,2.0,889 sq ft
"Ardgowan Road, London, SE6","£800,000",Terraced,3.0,2.0,"1,324 sq ft"
"Vetro Court, Salter Street, London, E14","£800,000",Apartment,2.0,2.0,Ask agent
"Vincent Square, Westminster","£800,000",Flat,2.0,2.0,Ask agent
"Albert Square, London","£800,000",House,4.0,2.0,"1,270 sq ft"
"Holly Terrace, Highgate","£800,000",Flat,2.0,1.0,958 sq ft
"Cleveland Square, Bayswater, London, W2","£800,000",Flat,1.0,1.0,461 sq ft
"West Kensington Mansions, 
Beaumont Crescent, W14","£800,000",Flat,4.0,2.0,"2,106 sq ft"
"Gunterstone Road, West Kensington","£800,000",Flat,2.0,1.0,Ask agent
"New Road, Richmond","£800,000",Terraced,2.0,1.0,918 sq ft
"Sloane Gardens, 
Sloane Square, SW1W","£800,000",Flat,1.0,1.0,Ask agent
"Scott House, London, SW11","£800,000",Flat,1.0,1.0,517 sq ft
"Maple Close, London, N16","£800,000",Terraced,3.0,1.0,"1,135 sq ft"
"Oakwood Park Road, London","£800,000",Semi-Detached,3.0,2.0,Ask agent
"Murrain Road, Highbury, London, N4","£800,000",Flat,2.0,2.0,771 sq ft
"Firs Park Gardens, Winchmore Hill","£800,000",End of Terrace,4.0,2.0,"1,879 sq ft"
"The Chase, London, SW16","£800,000",Semi-Detached,4.0,2.0,"1,705 sq ft"
"Roseberry Place, Hackney","£800,000",Flat,3.0,2.0,Ask agent
"Telegraph Place, Canary Wharf, E14","£800,000",Semi-Detached,3.0,2.0,"1,015 sq ft"
"Chalcot Road, Primrose Hill, London, NW1","£800,000",Flat,1.0,1.0,623 sq ft
"Parkcroft Road, Lee","£800,000",Terraced,3.0,1.0,Ask agent
"Jefferson Court, N1","£800,000",Flat,1.0,1.0,569 sq ft
"Rotherhithe Street, London, SE16","£800,000",Apartment,2.0,2.0,Ask agent
"Vicarage Gate, Kensington","£800,000",Flat,1.0,1.0,Ask agent
"The Quadrangle, Paddington, W2","£800,000",Flat,2.0,2.0,"1,022 sq ft"
"Marshall Street, Soho W1","£800,000",Apartment,1.0,1.0,506 sq ft
"Derby Hill, London","£800,000",House,3.0,1.0,"1,356 sq ft"
"Scott House, Circus Road West, Battersea Power Station, London, SW11","£800,000",Apartment,1.0,1.0,Ask agent
"Ongar Road, West Brompton, London, SW6","£800,000",Apartment,2.0,2.0,Ask agent
"Huxley Road, London, E10 5QY","£800,000",Terraced,5.0,3.0,"1,657 sq ft"
"Kew Riverside, Kew, Richmond, TW9","£800,000",Flat,2.0,2.0,"1,048 sq ft"
"Brampton Grove, London","£800,000",Flat,3.0,2.0,Ask agent
"Gwendolen Avenue, Putney","£800,000",Flat,2.0,2.0,"1,453 sq ft"
"Griffin Road, Plumstead","£800,000",Terraced,5.0,2.0,Ask agent
"Salusbury Road, London, NW6","£800,000",Apartment,2.0,2.0,762-951 sq ft
"Tierney Lane, Fulham, W6","£800,000",Apartment,1.0,1.0,574 sq ft
"Heygate Street, Elephant and Castle, London, SE17","£800,000",Flat,2.0,2.0,745 sq ft
"Merriman Road, Blackheath","£800,000",Semi-Detached,3.0,2.0,Ask agent
"Westminster Palace Garden, Artillery Row, Westminster, London, SW1P","£800,000",Apartment,1.0,1.0,582 sq ft
"Hardy Road, London, SE3","£800,000",Flat,4.0,2.0,"1,772 sq ft"
"Harbord Street, Fulham","£800,000",Flat,2.0,1.0,Ask agent
"St Margarets Road, Hanwell, W7","£800,000",Terraced,3.0,2.0,Ask agent
"Switch House East, Battersea Power Station, Circus Road East, London SW11","£800,000",Flat,1.0,,594 sq ft
"Portway, Stratford, London E15","£800,000",Terraced,5.0,3.0,"1,507 sq ft"
"Newman Street, Fitzrovia, London, W1T","£800,000",Apartment,2.0,2.0,625 sq ft
"Monohaus, London Fields, E8","£800,000",Apartment,2.0,2.0,823 sq ft
"Green Lane, Norbury","£800,000",Semi-Detached,4.0,2.0,Ask agent
"Guildford House, Tollgate Gardens, Kilburn, NW6","£800,000",Apartment,2.0,2.0,Ask agent
"Brook Drive, Elephant & Castle, SE11","£800,000",Apartment,2.0,2.0,766 sq ft
"Thornbury Road, Brixton","£800,000",Terraced,4.0,2.0,Ask agent
"Highworth Road, London, N11","£800,000",Terraced,3.0,1.0,"1,265 sq ft"
"The Mall, London, W5 3","£800,000",Apartment,2.0,2.0,754 sq ft
"Sutherland Street, Westminster","£800,000",Flat,1.0,1.0,Ask agent
"Neeld Crescent, London, NW4","£800,000",Semi-Detached,4.0,1.0,Ask agent
"New Tannery Way, 
Bermondsey, SE1","£800,000",Flat,2.0,2.0,Ask agent
"Cassiobury Road, Walthamstow, London, E17","£800,000",Terraced,4.0,3.0,Ask agent
"Wellington Road, St John's Wood, London, NW8","£800,000",Flat,2.0,2.0,729 sq ft
"Bartholomew Close, Barbican, EC1A","£800,000",Apartment,1.0,1.0,516 sq ft
"Greenwich Academy, Greenwich, SE10","£800,000",Flat,3.0,2.0,"1,617 sq ft"
"Frobisher Court, Old Woolwich Road, SE10","£800,000",Flat,4.0,1.0,"1,644 sq ft"
"THE QUADRANGLE, London, W2","£800,000",Flat,2.0,2.0,"1,060 sq ft"
"Greenfield Road, London","£800,000",Terraced,4.0,2.0,Ask agent
"Shelgate Road, 
Battersea, SW11","£800,000",Flat,2.0,2.0,861 sq ft
"Whelan Road, Acton, London, W3","£800,000",Flat,3.0,2.0,"1,189 sq ft"
"New Road, Richmond, London, TW10","£800,000",End of Terrace,2.0,1.0,918 sq ft
"Barlby Road, London, W10","£800,000",Maisonette,3.0,1.0,900 sq ft
"Quayside House, Kew Bridge Road, Brentford, TW8","£800,000",Apartment,2.0,2.0,Ask agent
"Greystoke Gardens, Enfield","£800,000",Detached,3.0,1.0,Ask agent
"Trinity Road, Tooting","£800,000",Flat,3.0,1.0,"12,152 sq ft"
"Devonshire Road, Chiswick, London, W4","£800,000",Apartment,2.0,2.0,Ask agent
"Durham Wharf Drive, Brentford, Middlesex","£800,000",Apartment,3.0,2.0,"1,226 sq ft"
"South Grove, Highgate, London, N6","£800,000",Apartment,2.0,1.0,850 sq ft
"Balgonie Road, North Chingford, E4","£800,000",Semi-Detached,4.0,2.0,Ask agent
"3 Merchant Square, Paddington, W2","£800,000",Flat,1.0,1.0,596 sq ft
"Ambassador Building, New Union Square, SW11","£800,000",Apartment,1.0,1.0,Ask agent
"Englands Lane, London, NW3","£800,000",Flat,2.0,1.0,754 sq ft
"St. Marks Place, Notting Hill, W11","£800,000",Apartment,2.0,1.0,744 sq ft
"Trenchard Street, Greenwich, SE10","£800,000",Terraced,3.0,1.0,Ask agent
"The Quadrangle, 
Hyde Park, W2","£800,000",Flat,2.0,2.0,"1,052 sq ft"
"Provender Mews, Boston Road, London, W7","£800,000",Mews,2.0,3.0,965 sq ft
"Queens Avenue, London, N20","£800,000",Semi-Detached,3.0,1.0,Ask agent
"Chelsea Harbour, Chelsea, London, SW10","£800,000",Flat,2.0,2.0,969 sq ft
"Wesley Square, Notting Hill, London, W11","£800,000",Flat,2.0,1.0,788 sq ft
Cynthia Street London N1,"£800,000",Apartment,1.0,1.0,Ask agent
"Lincoln Avenue, London, N14","£800,000",Semi-Detached,3.0,,Ask agent
"Hampstead Lane, Highgate, N6","£800,000",Apartment,3.0,1.0,964 sq ft
"Oberman Road, Dollis Hill, London, NW10","£800,000",Flat,3.0,2.0,"1,084 sq ft"
"Palace Square, London, SE19","£800,000",End of Terrace,3.0,1.0,Ask agent
"Central Piazza, Covent Garden, London, WC2H","£800,000",Flat,1.0,1.0,485 sq ft
"Barcombe Avenue, Streatham Hill, SW2","£800,000",Terraced,4.0,,"1,403 sq ft"
"Belvedere Row Apartments, White City Living W12","£800,000",Flat,1.0,1.0,Ask agent
"Handley Drive Greenwich, SE3","£800,000",Town House,3.0,3.0,Ask agent
"Highbury Grove, London, N5","£800,000",Apartment,3.0,2.0,920 sq ft
"Clitherow Avenue, Ealing","£800,000",Semi-Detached,3.0,1.0,"1,039 sq ft"
"Westmont Club Residences, Wood Lane, White City Living W12","£800,000",Apartment,1.0,1.0,Ask agent
"Bermondsey Street, London Bridge","£800,000",Flat,2.0,2.0,Ask agent
Dunbar Wharf Narrow Street,"£800,000",Apartment,2.0,2.0,Ask agent
"Bellwether Lane, Wandsworth, London, SW18","£800,000",Flat,2.0,2.0,953 sq ft
"78 Ellesmere Road, Dollis Hill, London, NW10 1JS","£800,000",Semi-Detached,5.0,,Ask agent
"Old Manor Way, Chislehurst","£800,000",Detached,4.0,2.0,Ask agent
"Clapham Common North Side, London, SW4","£800,000",Apartment,2.0,1.0,910 sq ft
"Tressillian Road, Brockley, SE4","£800,000",Apartment,2.0,1.0,Ask agent
"Annandale House, 
West Heath Avenue, NW11","£800,000",Flat,3.0,2.0,Ask agent
"The Boulevard, Imperial Wharf, London, SW6","£800,000",Apartment,2.0,2.0,829 sq ft
"Brompton Square, London, SW3","£800,000",Flat,1.0,1.0,571 sq ft
"Cashmere Wharf, London Dock, E1W","£800,000",Apartment,1.0,1.0,592 sq ft
"Dollis Hill Lane, London, NW2","£800,000",Semi-Detached,3.0,2.0,Ask agent
"Turner Court, Bevenden Street, Hoxton, LONDON, N1","£800,000",Flat,1.0,1.0,541 sq ft
"Mirabel Road, Fulham","£800,000",Maisonette,2.0,1.0,Ask agent
"Tasman Road, Clapham North, London, SW9","£800,000",End of Terrace,2.0,1.0,895 sq ft
"Westminster Court, Melville Place, Islington, N1","£800,000",Flat,2.0,2.0,Ask agent
"Mountgrrove Road, Islington, London, N5","£800,000",Maisonette,3.0,3.0,"1,056 sq ft"
"Argyle Walk, Bloomsbury","£800,000",Flat,3.0,2.0,Ask agent
"Axminster Road, Holloway","£800,000",Maisonette,3.0,1.0,Ask agent
"Upper Maisonette, 98 Edith Grove, London, SW10 0NH","£800,000",Maisonette,3.0,,Ask agent
"Bow Brook House, Bethnal Green, E2","£800,000",Flat,2.0,1.0,"1,073 sq ft"
"Maine Tower, London E14","£800,000",Flat,2.0,1.0,Ask agent
"City Road, Clerkenwell, London, EC1V","£800,000",Flat,2.0,2.0,871 sq ft
"Cinnabar Wharf East, Wapping High Street, London, E1W","£800,000",Apartment,2.0,1.0,657 sq ft
"Vale Court, Chelsea, London, SW3","£800,000",Flat,1.0,1.0,515 sq ft
"Foundry House, 5 Lockington Road, London, SW8","£800,000",Apartment,2.0,2.0,893 sq ft
"Regis Place, 10 Llanvanor Road, Childs Hill, London, NW2","£800,000",Apartment,2.0,2.0,894 sq ft
"Sinclair Road, Brook Green","£800,000",Flat,2.0,1.0,Ask agent
"Merchant Square East, Paddington, London, W2","£800,000",Flat,2.0,2.0,594 sq ft
Ennismore Gardens London SW7,"£800,000",Apartment,1.0,1.0,Ask agent
"Meeting House Lane, Peckham, LONDON, SE15","£800,000",Flat,2.0,2.0,"1,086 sq ft"
"Goswell Road, Angel, London, EC1V","£800,000",Flat,2.0,2.0,789 sq ft
"Kinloch Drive, London, NW9","£800,000",Semi-Detached Bungalow,4.0,3.0,Ask agent
"Goldman Close, Bethnal Green, London, E2","£800,000",Terraced,3.0,1.0,"1,135 sq ft"
"Clayton Crescent, Brentford, TW8","£800,000",Semi-Detached,4.0,3.0,"1,156 sq ft"
"Kensington Gardens Square, London","£800,000",Flat,1.0,1.0,Ask agent
"Courtfield Gardens, London, SW5","£800,000",Apartment,2.0,2.0,620 sq ft
"The Water Gardens, London, W2","£800,000",Flat,2.0,2.0,861 sq ft
"Embankment Gardens, 
Chelsea, SW3","£800,000",Flat,1.0,1.0,465 sq ft
"The Stage Shoreditch,
London,
EC2A","£800,000",Apartment,1.0,1.0,579 sq ft
"Lowther Drive, Enfield, EN2","£800,000",Semi-Detached,3.0,1.0,Ask agent
"Pickard Close, Southgate","£800,000",Terraced,4.0,3.0,Ask agent
"Chiltern Street, Marylebone, London, W1U","£800,000",Flat,1.0,1.0,392 sq ft
"Randall Place, Greenwich","£800,000",Terraced,2.0,1.0,826 sq ft
"Lysia Street, Fulham","£800,000",Apartment,2.0,2.0,991 sq ft
"The Quadrangle, London, W2","£800,000",Flat,2.0,2.0,"1,022 sq ft"
"Bunhill Row, Shoreditch","£800,000",Flat,2.0,2.0,Ask agent
"12 Dock Street, London, E1","£800,000",Flat,2.0,2.0,718 sq ft
"Edna Road, Raynes Park","£800,000",Terraced,3.0,2.0,"1,156 sq ft"
"Vabel Kentisston, Kentish Town","£800,000",Apartment,2.0,1.0,783 sq ft
"The Pickle Factory, 5 New Tannery Way, London, SE1","£800,000",Flat,2.0,2.0,893 sq ft
"The Stage, 22 Hewett Street, London, EC2A","£800,000",Apartment,1.0,1.0,579 sq ft
"Redcliffe Gardens, Chelsea","£800,000",Apartment,1.0,1.0,582 sq ft
"Deptford High Street, London, SE8","£800,000",Block of Apartments,3.0,2.0,"1,868 sq ft"
"Coster Avenue, London, N4","£800,000",Flat,2.0,2.0,"1,047 sq ft"
"Holland Road, Holland Park, London, W14","£800,000",Apartment,2.0,2.0,893 sq ft
"16 Hirst Court, 20 Gatliff Road, Chelsea, London, SW1W","£800,000",Flat,,,Ask agent
"Pollards Hill West, London, SW16","£800,000",Detached,5.0,4.0,"2,540 sq ft"
"Kew Bridge Road, Brentford, TW8","£800,000",Apartment,2.0,1.0,903 sq ft
"Winslow Close, Wembley, London, NW10","£800,000",Semi-Detached,6.0,3.0,"1,991 sq ft"
"Mandel House, 
Eastfields Avenue, SW18","£800,000",Flat,2.0,2.0,Ask agent
"Camden Road, London, NW1","£800,000",Apartment,2.0,1.0,Ask agent
"Blackheath Road, London, SE10","£800,000",Flat,3.0,2.0,"1,617 sq ft"
"Colby Road, Crystal Palace, SE19","£800,000",Semi-Detached,3.0,1.0,Ask agent
"Windsor Square, Woolwich, SE18","£800,000",Apartment,3.0,2.0,Ask agent
"St. Leonards Avenue, Highams Park","£800,000",Semi-Detached,3.0,1.0,"1,291 sq ft"
"Grosvenor Hill, Wimbledon Village, London, SW19","£800,000",Flat,2.0,2.0,618 sq ft
"Malvern Mews, London, NW6","£800,000",Terraced,2.0,2.0,974 sq ft
"Wyvil Road, Nine Elms, London, SW8","£800,000",Apartment,2.0,2.0,Ask agent
