Address,Price,Property Type,Bedrooms,Bathrooms,Size
"2 Auckland Road, London","£475,000",Flat,2.0,3.0,"1,008 sq ft"
"Earlsfield Road, London, SW18","£475,000",Flat,2.0,1.0,Ask agent
"Pier Way, 
Woolwich, 
SE28 0FH","£475,000",Apartment,2.0,2.0,761 sq ft
"16 Bowen Drive, London","£475,000",Apartment,2.0,1.0,Ask agent
"Andrews Walk, Walworth","£475,000",Flat,2.0,1.0,Ask agent
"St Johns Avenue, Willesden, London, NW10","£475,000",Flat,2.0,,665 sq ft
"East Hill, Wandsworth","£475,000",House,3.0,1.0,Ask agent
"Devonhurst Place, 
Heathfield Terrace, W4","£475,000",Flat,1.0,1.0,433 sq ft
"Beckway Road, London, SW16","£475,000",Terraced,3.0,1.0,Ask agent
"Mercier Court, 3 Starboard Way, Royal Wharf, E16","£475,000",Apartment,2.0,1.0,842 sq ft
"Grangewood Terrace, South Norwood, SE25","£475,000",End of Terrace,4.0,2.0,"1,193 sq ft"
"Eagle Wharf Road, Islington, London, N1","£475,000",Apartment,1.0,1.0,535 sq ft
"Brondesbury Villas, London","£475,000",Flat,1.0,1.0,Ask agent
"Livingstone Road, THORNTON HEATH, Surrey, CR7","£475,000",Terraced,2.0,1.0,Ask agent
"Meopham Road, Mitcham, CR4","£475,000",Semi-Detached,3.0,2.0,"1,010 sq ft"
"Hoola, Tidal Basin Road, London","£475,000",Apartment,1.0,1.0,766 sq ft
"LEGACY TOWER, Stratford, E15, Stratford, London, E15","£475,000",Studio,,1.0,398 sq ft
"North Woolwich Road,
Royal Docks,
London,
E16 2EE","£475,000",Apartment,2.0,1.0,813 sq ft
"Minford Gardens, London, W14","£475,000",Flat,1.0,1.0,Ask agent
"Elm Park Road, Leyton","£475,000",Terraced,2.0,1.0,Ask agent
"Vauxhall Street, London","£475,000",Flat,2.0,1.0,Ask agent
"Admiral Walk, London, W9","£475,000",Apartment,2.0,2.0,827 sq ft
"Eliot Place, London","£475,000",Apartment,2.0,1.0,695 sq ft
"Bow Common Lane, London","£475,000",House,3.0,1.0,Ask agent
"Colman Road, London, E16","£475,000",Semi-Detached,3.0,2.0,Ask agent
"Buxton Street, London","£475,000",Flat,2.0,1.0,Ask agent
"Blake Court, Highlands Village, Winchmore Hill, London, N21","£475,000",Retirement Property,2.0,1.0,Ask agent
"Dukes Avenue, LONDON, W4","£475,000",Flat,1.0,1.0,711 sq ft
"Boardman Avenue, Chingford, E4","£475,000",Semi-Detached,3.0,1.0,Ask agent
"Hawthorne Crescent, Greenwich, London, SE10","£475,000",Flat,1.0,1.0,506 sq ft
"Torriano Avenue, Kentish Town","£475,000",Flat,1.0,1.0,Ask agent
"Streatham High Road, London","£475,000",Flat,2.0,2.0,Ask agent
"Chilworth Mews, London, W2","£475,000",Flat,1.0,1.0,369 sq ft
"Daventry Street, Marylebone, NW1","£475,000",Apartment,1.0,2.0,436 sq ft
"Hatherley Grove, Bayswater","£475,000",Flat,1.0,1.0,Ask agent
"Camberwell Road, Camberwell","£475,000",Flat,2.0,1.0,Ask agent
"Frobisher Gardens, 4 Westerham Road, London, Greater London, E10","£475,000",Terraced,2.0,1.0,Ask agent
"Bramdean Crescent, London, SE12","£475,000",Terraced,3.0,1.0,678 sq ft
"Hollydale Road, London, SE15","£475,000",Terraced,2.0,1.0,Ask agent
"Landmark East, Marsh Wall E14","£475,000",Flat,1.0,1.0,Ask agent
"Earlsfield Road, Earlsfield","£475,000",Flat,1.0,1.0,Ask agent
"Barge Walk, Greenwich, London, SE10","£475,000",Apartment,2.0,1.0,826 sq ft
"Argyle House Dee Road, Richmond","£475,000",Apartment,2.0,1.0,Ask agent
"Streatham Place, Brixton","£475,000",Flat,2.0,2.0,Ask agent
"Greenacres, Hendon Lane, Finchley, N3","£475,000",Apartment,2.0,2.0,Ask agent
"Hill Court, Wimbledon, SW19","£475,000",Apartment,1.0,1.0,Ask agent
Moulding Lane Deptford SE14,"£475,000",Apartment,2.0,2.0,Ask agent
"The 1840, St Georges Gardens,
Glenburnie Road, 
London, 
SW17 7DJ","£475,000",Apartment,1.0,1.0,607 sq ft
"Quintock House, Broomfield Road, Kew, Richmond, Surrey, TW9","£475,000",Ground Flat,2.0,,Ask agent
"Carronade Court, 
Eden Grove, N7","£475,000",Flat,2.0,1.0,Ask agent
"Berkshire Road, Hackney Wick, London, E9","£475,000",Maisonette,2.0,1.0,856 sq ft
"Cedars Road, Clapham, London, SW4","£475,000",Flat,3.0,1.0,Ask agent
"Woodhill, LONDON","£475,000",Apartment,2.0,1.0,Ask agent
"41 Millharbour, London, E14","£475,000",Apartment,2.0,1.0,599 sq ft
"Wricklemarsh Road, Blackheath","£475,000",Flat,2.0,2.0,Ask agent
"Shooters Hill Road, Blackheath, London, SE3","£475,000",Flat,2.0,2.0,728 sq ft
"Balham Hill, London, SW12","£475,000",Apartment,1.0,1.0,494 sq ft
"Danbrook Road, Streatham","£475,000",End of Terrace,2.0,1.0,Ask agent
"Hamme Building, Royal Docks E16","£475,000",Flat,2.0,2.0,Ask agent
"Marsh Wall, Canary Wharf, E14 9BT","£475,000",Apartment,1.0,1.0,598 sq ft
"Lower Road, Canada Water, London, SE16","£475,000",Flat,3.0,1.0,778 sq ft
"Trafalgar Road, Greenwich","£475,000",Flat,2.0,1.0,Ask agent
"Grove End Road, St John's Wood NW8","£475,000",Apartment,1.0,1.0,466 sq ft
"Elswick Road, London, SE13","£475,000",Terraced,3.0,1.0,Ask agent
"Bush Road, Deptford, London, SE8","£475,000",Flat,2.0,1.0,690 sq ft
"The Grange, Bermondsey","£475,000",Flat,1.0,1.0,Ask agent
"Sunnydale Road, London, SE12","£475,000",Terraced,3.0,1.0,Ask agent
"St. Georges Road, Leyton, London, E10","£475,000",Flat,2.0,1.0,584 sq ft
"Conistone Way, London, N7","£475,000",Flat,2.0,1.0,Ask agent
"Royal Mint Gardens, Tower Hill, E1","£475,000",Studio,,1.0,375 sq ft
"Burnley Road, London, NW10","£475,000",Ground Flat,2.0,1.0,Ask agent
"Harrington Road, Croydon","£475,000",Terraced,3.0,1.0,Ask agent
"Schoolbank Road, Greenwich","£475,000",Apartment,2.0,1.0,Ask agent
"Finch Lodge, Admiral Walk, London","£475,000",Apartment,1.0,1.0,636 sq ft
"Ossulton Way, Hampstead Garden Suburb, N2","£475,000",Flat,2.0,1.0,Ask agent
"105 Fairfield Road, London, E3","£475,000",Apartment,2.0,2.0,Ask agent
"Horsell Road, Highbury","£475,000",Flat,1.0,1.0,Ask agent
"Hillfield Avenue, Crouch End","£475,000",Flat,2.0,1.0,Ask agent
"St. Margarets Road, Brockley","£475,000",Flat,2.0,1.0,Ask agent
"Rodney Point, 
309 Rotherhithe Street, SE16","£475,000",Flat,2.0,2.0,678 sq ft
"Regents Park Road, London, N3","£475,000",Land,,,Ask agent
"Nether Street, Finchley","£475,000",Maisonette,2.0,1.0,Ask agent
"Boundary House, Queensdale Crescent, London","£475,000",Flat,1.0,1.0,571 sq ft
"Lawrence Avenue, London, E12","£475,000",Terraced,3.0,2.0,Ask agent
"Belsize Road, South Hampstead, NW6","£475,000",Apartment,1.0,1.0,549 sq ft
"Carey Gardens, Nine Elms, London, SW8","£475,000",Flat,3.0,1.0,846 sq ft
"Estcourt Road, Fulham, SW6","£475,000",Ground Flat,1.0,1.0,456 sq ft
"Westhorne Avenue, Eltham, London, SE9","£475,000",Semi-Detached,3.0,1.0,Ask agent
"Mitcham Lane, Furzedown","£475,000",Flat,2.0,1.0,Ask agent
"Barton Court, 
Barons Court Road, W14","£475,000",Flat,1.0,1.0,550 sq ft
"Hazel Close, Brentford","£475,000",Maisonette,4.0,1.0,Ask agent
"Haig Road West, Plaistow, London, E13","£475,000",Terraced,3.0,2.0,Ask agent
"Crampton Street, London, SE17","£475,000",Flat,2.0,1.0,686 sq ft
"Homestead Road, 
Fulham, SW6","£475,000",Flat,1.0,1.0,526 sq ft
"St Clements Development, Bow","£475,000",Apartment,1.0,1.0,650 sq ft
"Auckland Hill, West Norwood","£475,000",Maisonette,2.0,1.0,Ask agent
"The Galley, Basin Approach, London, E16","£475,000",Apartment,2.0,2.0,Ask agent
"Windsor Court, Bow, London, E3","£475,000",Flat,3.0,2.0,970 sq ft
"Thurlow Park Road, West Dulwich","£475,000",Flat,2.0,1.0,Ask agent
"Charrington Tower, New Providence Wharf, London, E14","£475,000",Apartment,1.0,1.0,Ask agent
"Woodside Court, The Common, London, W5","£475,000",Apartment,2.0,1.0,Ask agent
"Sandwich Street, London, Greater London, WC1H","£475,000",Flat,1.0,1.0,440 sq ft
"Battersea Park Road, London, SW11","£475,000",Apartment,1.0,1.0,578 sq ft
"Morrish Road, Brixton Hill, SW2","£475,000",Apartment,2.0,1.0,Ask agent
"WINDSOR WAY, BROOK GREEN, W14","£475,000",Apartment,1.0,1.0,552 sq ft
97 Rathbone Street London E16,"£475,000",Flat,2.0,2.0,Ask agent
"Murrain Road, London","£475,000",Apartment,1.0,1.0,Ask agent
"Old Brompton Road, Earl's Court, London, SW5","£475,000",Apartment,,1.0,417 sq ft
"Kingsway, Finchley, London, N12","£475,000",Flat,2.0,2.0,984 sq ft
"Sidmouth Road, Kensal Rise","£475,000",Flat,2.0,1.0,Ask agent
"Boundaries Road, Balham","£475,000",Flat,1.0,1.0,Ask agent
"Millard Close, Stoke Newington","£475,000",Maisonette,3.0,1.0,Ask agent
"Barrier Point Road, London, Greater London, E16","£475,000",Apartment,2.0,2.0,Ask agent
"Alexandra Street, New Cross, London, SE14","£475,000",Maisonette,3.0,1.0,878 sq ft
"Harvey Lodge, Admiral Walk, London, W9","£475,000",Apartment,2.0,2.0,815 sq ft
"The Ridgeway,
Mill Hill,
London,
NW7 1AA","£475,000",Apartment,1.0,,Ask developer
"32  Westmoreland Road, London","£475,000",Flat,2.0,2.0,Ask agent
"Fulham Road, London, SW6","£475,000",Apartment,1.0,1.0,489 sq ft
"Gaumont Tower, E8","£475,000",Flat,1.0,1.0,574 sq ft
"Montagu Street, London, W1H","£475,000",Flat,1.0,1.0,549 sq ft
"Heatham Park, Twickenham, TW2","£475,000",Maisonette,2.0,1.0,737 sq ft
"Burnham Way, London, W13 9YB","£475,000",Flat,2.0,2.0,Ask agent
"Sandhurst Road, Catford, London, SE6","£475,000",Terraced,3.0,1.0,872 sq ft
"Newham Way, Beckton, London, E6","£475,000",Terraced,3.0,2.0,944 sq ft
"Oseney Crescent, Kentish Town","£475,000",Flat,1.0,1.0,Ask agent
"Boutflower Road, 
Battersea, SW11","£475,000",Flat,2.0,1.0,532 sq ft
"Earls Court Road, London, W8","£475,000",Apartment,1.0,1.0,586 sq ft
"Juliana Close, London, N2","£475,000",Apartment,2.0,2.0,Ask agent
"Dowells Street, London","£475,000",Apartment,2.0,1.0,635 sq ft
"Garratt Lane, London, SW18","£475,000",Apartment,2.0,1.0,636 sq ft
"Chase Road, Southgate","£475,000",Flat,1.0,1.0,Ask agent
"Hornsey Lane, Highgate","£475,000",Flat,2.0,1.0,Ask agent
"Lawnside, Blackheath, London, SE3","£475,000",Ground Flat,2.0,1.0,Ask agent
"Hampton Apartments, Woolwich Riverside, London, SE18","£475,000",Flat,1.0,1.0,564 sq ft
"Cromwell Road, South Kensington","£475,000",Flat,1.0,1.0,Ask agent
"Dunstans Road, East Dulwich, SE22","£475,000",Flat,2.0,1.0,685 sq ft
"Burrells Wharf Square, Canary Wharf","£475,000",Flat,2.0,2.0,Ask agent
"Montagu Street, Marylebone, London, W1H","£475,000",Flat,1.0,1.0,557 sq ft
"Staverton Road, Brondesbury, London, NW2","£475,000",Flat,2.0,1.0,645 sq ft
"Quintock House, Broomfield Road, Kew, Surrey, TW9","£475,000",Apartment,2.0,1.0,584 sq ft
"Scott Avenue, Putney","£475,000",Flat,2.0,1.0,Ask agent
"Putney Hill, London","£475,000",Flat,2.0,1.0,Ask agent
"Devonia Gardens, London, N18","£475,000",Terraced,3.0,1.0,Ask agent
"Bow Road, London, E3","£475,000",Flat,2.0,2.0,Ask agent
"Chesterford Road, MANOR PARK, E12","£475,000",Terraced,3.0,1.0,Ask agent
"Purbeck Gardens, Lower Sydenham","£475,000",Flat,2.0,2.0,Ask agent
"Jedburgh Road, Manor Park E13","£475,000",Apartment,2.0,1.0,"1,120 sq ft"
"Lordship Lane, East Dulwich, London","£475,000",Apartment,2.0,2.0,Ask agent
"Aragon Court, Ascalon Street, Battersea, SW8","£475,000",Apartment,1.0,1.0,Ask agent
"The Silverton, Royal Docks, E16","£475,000",Flat,2.0,1.0,813 sq ft
"Knight's Hill, West Norwood, SE27","£475,000",Maisonette,2.0,1.0,765 sq ft
"Clarendon Road, London","£475,000",Apartment,2.0,1.0,Ask agent
"Lewisham Hill, Lewisham, London, SE13","£475,000",Apartment,2.0,1.0,Ask agent
"Akerman Road, Oval","£475,000",Flat,1.0,1.0,Ask agent
"Somerset Road, West Ealing","£475,000",Flat,1.0,1.0,Ask agent
"Romeyn Road, Streatham","£475,000",Flat,3.0,2.0,Ask agent
"Corn House, Marshgate Lane, London, E15","£475,000",Apartment,1.0,1.0,Ask agent
"Hawfinch House, Moorhen Drive","£475,000",Apartment,2.0,2.0,Ask agent
Holmdene Avenue Herne Hill,"£475,000",Apartment,2.0,1.0,Ask agent
"St. Pauls Road, London, N1 2","£475,000",Apartment,1.0,1.0,Ask agent
"Waterford House, 40 Broomfield Lane, Palmers Green, London, N13","£475,000",Flat,2.0,1.0,Ask agent
"Listergate, 315 Upper Richmond Road, London, SW15","£475,000",Apartment,1.0,1.0,764 sq ft
"Westbourne Road, London, N7","£475,000",Apartment,1.0,1.0,375 sq ft
"North End Road, Fulham","£475,000",Flat,2.0,1.0,Ask agent
"Stockwell Road, London, SW9","£475,000",Flat,1.0,1.0,556 sq ft
"Rosebery Gardens, London","£475,000",Apartment,2.0,,637 sq ft
Dreadnought Close London,"£475,000",Flat,2.0,2.0,Ask agent
"Lockwood House, Harry Zeital Way, London","£475,000",Flat,2.0,1.0,Ask agent
"Hawfinch House, Moorhen Drive,  West Hendon, NW9","£475,000",Flat,2.0,2.0,715 sq ft
"25 Barge Walk, London, SE10","£475,000",Apartment,2.0,2.0,Ask agent
"Queens Road, Peckham","£475,000",Flat,2.0,1.0,Ask agent
