Address,Price,Property Type,Bedrooms,Bathrooms,Size
"ROYAL LANGFORD APARTMENTS, GREVILLE ROAD, London, NW6","£380,000",Flat,1,1,455 sq ft
"Ammonite House, Stratford, London, E15","£380,000",Flat,2,2,856 sq ft
"Osborne Road, London","£380,000",Flat,2,1,654 sq ft
"The Wellspring, Royal Eden Docks, E16","£380,000",Apartment,N/A,1,502 sq ft
"The Lock Building ,72 High Street , E15","£380,000",Flat,2,2,682 sq ft
"Brick Farm Close, Kew","£380,000",Flat,1,1,Ask agent
"Beaufort Square, Beaufort Park, Colindale, NW9","£380,000",Apartment,1,1,539 sq ft
"Silwood Street, Bermondsey","£375,000",Flat,2,1,Ask agent
"Peverel, E6","£380,000",End of Terrace,3,1,985 sq ft
"Devonport Street, Whitechapel, E1","£380,000",Apartment,1,1,527 sq ft
"Minnie Baldock Street, Canning Town","£380,000",Flat,1,1,Ask agent
"Elsinore House, Denmark Road, Camberwell, SE5","£380,000",Flat,2,1,Ask agent
"Pendant Court, Docklands, London, E16","£380,000",Flat,1,1,597 sq ft
"Fenman Court, Tottenham, N17","£380,000",Maisonette,2,1,644 sq ft
"Boundary Road, London","£380,000",Flat,1,1,Ask agent
"St. Leonards Square, Kentish Town","£380,000",Flat,1,1,Ask agent
"Augustus Court, Old Kent Road, London, SE1 4NY","£380,000",Flat,1,1,Ask agent
"Uxbridge Road, West Ealing W13","£380,000",Apartment,N/A,1,411 sq ft
"Albany Park Road, Kingston Upon Thames","£380,000",Flat,1,1,Ask agent
"Wood street,
Walthamstow,
E17 3LX","£380,000",Apartment,1,N/A,Ask developer
"Cubitt Building, Grosvenor Waterside, 10 Gatliff Road, London, SW1W","£380,000",Studio,N/A,1,339 sq ft
"Chorley Court, 24 Madeira Street, London, E14","£380,000",Apartment,1,1,539 sq ft
"Cornelia House, 3 Caversham Road, London, NW9","£380,000",Apartment,1,1,637 sq ft
"Norman Road, Greenwich, SE10 9QB","£380,000",Flat,1,1,Ask agent
"Elmira Street, London, SE13","£380,000",Flat,1,1,Ask agent
"Field Lane, Brentford, TW8","£380,000",Apartment,2,1,Ask agent
"Ashurst Road, London, N12","£380,000",Flat,2,1,Ask agent
"Pancras Way, London, London, E3 2SL","£380,000",N/A,N/A,N/A,710 sq ft
"Maida Vale, Maida Vale, London, W9","£380,000",Flat,2,1,774 sq ft
"Malton Street, Plumstead, London, SE18 2EH","£380,000",Terraced,2,1,Ask agent
"Newport Road, Leyton, London, E10","£380,000",Flat,2,1,Ask agent
"Grangemill Road, London, SE6","£379,995",House,2,1,Ask agent
"Wards Wharf Approach, London, E16","£375,000",Apartment,2,2,861 sq ft
"Primrose Place, Isleworth","£379,950",Flat,2,2,851 sq ft
"Heritage Avenue, Beaufort Park, Colindale, NW9","£379,950",Apartment,2,1,581 sq ft
"Trevor Close, Isleworth, TW7","£379,950",Maisonette,2,1,Ask agent
"Nero Court, Augustus Close, Brentford Docks","£379,950",Apartment,2,1,Ask agent
"Nunhead Estate, London","£379,950",Apartment,3,1,722 sq ft
Alderman House Tewkesbury Road Ealing,"£379,950",Ground Flat,1,1,Ask agent
"Balham High Road, London","£379,950",Flat,1,1,Ask agent
"Sunningfields Road, Hendon NW4","£379,450",Flat,2,2,Ask agent
"Leeland Terrace, Ealing W13","£379,000",Apartment,2,1,Ask agent
"3 Cottage Road, Lower Holloway, London, Islington, N7 8TP","£379,000",Flat,2,N/A,Ask agent
"Wood Lane,
White City,
London,
W12 7RQ","£378,750",Flat,N/A,N/A,Ask developer
"Union Lane, Isleworth","£377,000",Apartment,2,2,Ask agent
"Spelman Street, London, E1","£375,000",Flat,3,N/A,527 sq ft
"Cricklewood Lane, Childs Hill, NW2","£375,000",Flat,2,1,635 sq ft
"Arthur Road, Wimbledon Park, London, SW19","£375,000",Flat,1,1,495 sq ft
"Lichfield Road, Cricklewood","£375,000",House,1,1,Ask agent
"Albert Carr Gardens, Streatham","£375,000",Apartment,3,1,Ask agent
"Lamington Heights, 8 Madeira Street, London, E14","£375,000",Flat,1,1,564 sq ft
"Werndee Road, London, SE25","£375,000",Apartment,3,1,Ask agent
"Newton House, Cornwall Street, London, E1 2QP","£375,000",Flat,2,1,Ask agent
"Melody Road, Wandsworth, London, SW18","£375,000",Flat,2,1,692 sq ft
"Lichfield Road, London, NW2","£375,000",Apartment,2,1,751 sq ft
"Norwood Road, London","£375,000",Flat,2,1,602 sq ft
"Peckham Rye, London","£375,000",Flat,2,1,Ask agent
Mosslea Road,"£375,000",Flat,2,1,555 sq ft
"Provost Estate, Old Street","£375,000",Flat,1,1,Ask agent
"Russell Road, Hendon, London, NW9","£375,000",Flat,2,1,483 sq ft
"Gautrey Road, Nunhead, SE15","£375,000",Apartment,1,1,Ask agent
"Berglen Court, Branch Road, London, E14","£375,000",Apartment,1,1,698 sq ft
"Dartmouth Road, Sydenham, London, SE26","£375,000",Terraced,2,1,580 sq ft
"Battersea Park Road, London, SW11 4ND","£375,000",Flat,1,1,32 sq ft
"William Square, London, SE16","£375,000",Apartment,1,1,Ask agent
"Bowen Drive, Charlton, SE7","£375,000",Apartment,1,1,Ask agent
Crystal Palace Park Road,"£375,000",Flat,2,1,Ask agent
"Newport Avenue, London, E14","£375,000",Flat,2,1,745 sq ft
"Aitken Road, Catford","£375,000",Terraced,2,1,Ask agent
"104-120 Lee High Road, London SE13","£375,000",Flat,2,1,Ask agent
"East India Dock Road, London","£375,000",Flat,2,1,Ask agent
"Adenmore Road, London SE6","£375,000",Flat,2,1,563 sq ft
"Hevelius Close, Greenwich, London, SE10","£375,000",Flat,2,1,620 sq ft
"Twickenham Road, Isleworth, TW7","£375,000",Flat,2,2,910 sq ft
"Millharbour, Canary Wharf, London, E14","£375,000",Flat,1,1,541 sq ft
"Hartington Road, Ealing, London","£375,000",Apartment,1,1,560 sq ft
"St Pauls Way, Bow, London, E3","£375,000",Flat,1,1,555 sq ft
"Newman Close, Willesden Green, NW10","£375,000",Apartment,1,1,Ask agent
97 Rathbone Street London E16,"£375,000",Flat,1,1,Ask agent
"Peckham Road, Camberwell","£375,000",Flat,1,1,Ask agent
"Brondesbury Park, Brondesbury","£375,000",Apartment,1,1,489 sq ft
"Queenswood Gardens, Wanstead","£375,000",Flat,2,1,Ask agent
"Palmerston Road, Acton","£375,000",Flat,1,1,Ask agent
"Abinger Grove, Deptford","£375,000",Flat,3,1,Ask agent
"Ealing, W5","£375,000",Duplex,2,1,Ask agent
"Golders Green Road, London, NW11","£375,000",Apartment,2,1,Ask agent
"Ryecroft House, Wimbledon","£375,000",Flat,2,1,Ask agent
"Roehampton Lane, London, SW15","£375,000",Flat,1,1,514 sq ft
"Wellington Road, Forest Gate, E7","£375,000",Flat,2,2,635 sq ft
"Arnal Crescent, London, SW18","£375,000",Flat,4,2,Ask agent
"170 Chrisp Street, London, E14","£375,000",Apartment,2,1,Ask agent
"Tilford Gardens, London","£375,000",Flat,2,1,Ask agent
"The Broadway, London, W5","£375,000",Apartment,1,1,Ask agent
"Honor Oak Road, London","£375,000",Flat,2,1,634 sq ft
"Drake House, Stepney Way, Whitechapel, London, E1","£375,000",Flat,2,1,633 sq ft
"Crofton Road, Plaistow, London, E13","£375,000",Bungalow,1,1,543 sq ft
"Arnal Crescent, London, SW18","£375,000",Flat,4,2,Ask agent
"Furlong Court, Mile End, E3","£375,000",Flat,1,1,527 sq ft
"Sinclair Road, Brook Green","£375,000",Flat,1,1,Ask agent
"Tierney Road, London, SW2","£375,000",Apartment,1,1,765 sq ft
"Breakspears Road, Brockley, London","£375,000",Apartment,1,1,Ask agent
"St Peter's Street, Islington, N1","£375,000",Studio,N/A,1,Ask agent
"Waldegrave Road, Crystal Palace, London","£375,000",Apartment,2,1,Ask agent
"Cambridge Avenue, Kilburn","£375,000",Apartment,2,1,Ask agent
"Leigham Court Road, Streatham","£375,000",Flat,2,1,Ask agent
"Highgate Hill, London N19","£375,000",Flat,1,1,452 sq ft
"Chorley Court, Canary Wharf, E14","£375,000",Flat,1,1,566 sq ft
"Romney Court, Haverstock Hill, London, NW3","£375,000",Apartment,1,1,361 sq ft
"Kidbrooke Village, Pegler Square, London, SE3","£375,000",Flat,1,1,581 sq ft
"Leigh Road, East Ham, London, E6","£375,000",Flat,2,1,919 sq ft
"Camberwell Grove, Camberwell, SE5","£375,000",Flat,1,1,419 sq ft
"West Park, London","£375,000",Apartment,2,1,Ask agent
"Chatham Place, Homerton, London, E9","£375,000",Flat,2,1,693 sq ft
"Brondesbury Park, Brondesbury Park, London, NW2","£375,000",Flat,1,1,501 sq ft
"Hanger Green, Ealing, London, W5","£375,000",Flat,2,1,722 sq ft
"Audley Road, Hendon, London","£375,000",Flat,2,1,614 sq ft
"Ontario Tower, 4 Fairmont Avenue, London, E14","£375,000",Apartment,1,1,Ask agent
"Discovery Tower, Canning Town, London, E16","£375,000",Flat,1,1,554 sq ft
"Brondesbury Road, London, NW6","£375,000",Flat,1,1,514 sq ft
"Cricklewood Broadway, Willesden Green, London, NW2","£375,000",Flat,2,1,629 sq ft
"Hitcham Road, Walthamstow, London, E17","£375,000",Maisonette,2,2,654 sq ft
"Bromyard Avenue, Acton","£375,000",Flat,2,2,Ask agent
"Robsart Street, London, SW9","£375,000",Apartment,1,1,584 sq ft
"Leonard House, Lambkins Mews, Walthamstow, London, E17","£375,000",Flat,2,1,Ask agent
"1 Silvertown Square, London, E16","£375,000",Apartment,1,1,Ask agent
"Callcott Road, Brondesbury","£375,000",Flat,1,1,Ask agent
"Christopher Court, London","£375,000",Flat,2,1,710 sq ft
"Norwood Road, West Norwood, London, SE27","£375,000",Apartment,2,1,Ask agent
"Orsett Terrace, Bayswater, London, W2","£375,000",Flat,1,1,346 sq ft
"Newman Close,  Willesden Green, NW10","£375,000",Apartment,1,1,Ask agent
"Homerton Road, Hackney, London, E9","£375,000",Flat,3,1,735 sq ft
"Hill House, 17 Highgate Hill, London","£375,000",Apartment,1,1,Ask agent
"Blackstock Road, Finsbury Park","£375,000",Flat,2,1,Ask agent
"Fulham Road, Fulham","£375,000",Flat,1,1,Ask agent
"Aragon Tower, 
George Beard Road, SE8","£375,000",Flat,2,1,716 sq ft
"Queens Drive, Finsbury Park, London, N4","£375,000",Flat,2,1,704 sq ft
"New Caledonian Wharf, 6 Odessa Street, London, SE16","£375,000",Apartment,1,1,Ask agent
"22 King Henry Lodge, 51 Hall Lane, London, E4","£375,000",Flat,2,N/A,Ask agent
"Adenmore Road, Catford, London, SE6","£375,000",Flat,2,1,563 sq ft
"Everington Street, 
Barons Court, W6","£375,000",Flat,1,1,521 sq ft
"Metro Central Heights, 119 Newington Causeway, SE1","£375,000",Apartment,2,1,Ask agent
"Stuart House, 1 Beaulieu Avenue, London, E16","£375,000",Flat,2,1,575 sq ft
"Trafalgar Avenue, London, SE15","£375,000",Apartment,1,1,Ask agent
"Knollys Road, Streatham","£375,000",Flat,1,1,Ask agent
"Linwood Close, Camberwell, SE5","£375,000",Flat,1,1,Ask agent
"New Providence Wharf, Fairmont Avenue, E14","£375,000",Flat,1,1,570 sq ft
"Elm Grove, Wimbledon","£375,000",Flat,N/A,1,431 sq ft
"Flats A & B, 71 Parish Lane, Penge, Crystal Palace, London, Greater London SE20 7JP","£375,000",Block of Apartments,3,N/A,Ask agent
"Kenyon Mansions, 278 Coldharbour Lane, London, SW9","£375,000",Apartment,2,1,535 sq ft
"Trinity Park, Woolwich, SE18","£375,000",Apartment,1,1,553 sq ft
"Maida Vale, Maida Vale","£375,000",Flat,1,2,Ask agent
"30 Coptic Street, Bloomsbury","£375,000",Studio,N/A,1,218 sq ft
"Sky Apartments, Homerton Road, London, E9","£375,000",Apartment,1,1,Ask agent
"Heathfield Terrace, Chiswick, LONDON, W4","£375,000",Studio,N/A,1,368 sq ft
"The Renovation, Woolwich Manor Way, E16","£375,000",Apartment,2,1,Ask agent
"The Renovation, Woolwich Manor Way, Silvertown, London, E16","£375,000",Flat,2,1,958 sq ft
"Tent Street, London, E1","£375,000",Flat,2,1,Ask agent
"Maestro Apartments, Caspian Wharf, E3","£375,000",Apartment,2,1,Ask agent
"Bounds Green Road, London","£375,000",Flat,2,1,Ask agent
"Anerley Hill, Crystal Palace, London, SE19","£375,000",Flat,1,1,662 sq ft
"Cable Walk, London, SE10","£375,000",Studio,N/A,1,Ask agent
"Bishopsgate, Bishopsgate, London, EC2M","£375,000",Flat,1,1,381 sq ft
"The Crescent, Wimbledon Park, SW19","£375,000",Maisonette,1,1,409 sq ft
"Burton Road, Brixton, London, SW9","£375,000",Flat,1,1,508 sq ft
"Gainsborough House, Canary Wharf, E14","£375,000",Flat,1,1,500 sq ft
"The Silverton, Royal Docks, E16","£375,000",Flat,1,1,551 sq ft
"Pier Way, 
Woolwich, 
SE28 0FH","£375,000",Apartment,1,1,546 sq ft
"Barfleur Lane, Deptford SE8","£375,000",Flat,2,1,Ask agent
"Edgware Road, London, W2","£375,000",Studio,N/A,1,339 sq ft
"Downs Road, Clapton","£375,000",Flat,1,1,Ask agent
"North Woolwich Road,
Royal Docks,
London,
E16 2EE","£375,000",Apartment,1,1,551 sq ft
"Adagio Point, 3 Laban Walk, London, SE8","£375,000",Flat,1,1,Ask agent
"Middleham Road, Edmonton","£375,000",Terraced,3,1,Ask agent
"Lilford Road, London","£375,000",Apartment,1,1,Ask agent
"Rutland Road, Hackney","£375,000",Apartment,1,1,487 sq ft
"Paragon Court, Wightman Road, London, N8","£375,000",Apartment,2,2,Ask agent
"Rowan Close, Streatham","£375,000",Flat,2,1,Ask agent
"Sloane Court East, Chelsea, London, SW3","£375,000",Flat,1,1,698 sq ft
"Lamington Heights, Madeira Street, London, E14","£375,000",Apartment,1,1,Ask agent
"Rowcross Street, Bermondsey","£375,000",Flat,2,2,Ask agent
"Holgate Avenue, Battersea, London, SW11","£375,000",Flat,2,1,Ask agent
"King Henry Lodge, Hall Lane, Chingford, E4","£375,000",Flat,2,2,Ask agent
"The Vale, London","£375,000",Apartment,2,1,784 sq ft
"Seren Park Gardens, Blackheath, SE3","£375,000",Apartment,1,1,Ask agent
"Clyde Square, London, E14","£375,000",Flat,1,1,516 sq ft
"Vermont Road, Wandsworth","£375,000",Flat,2,1,Ask agent
"Columbia Road, Shoreditch, E2","£375,000",Apartment,1,1,657 sq ft
"Albert Road, South Norwood","£375,000",Maisonette,2,1,Ask agent
"Ivydale Road, Peckham","£375,000",Flat,2,1,Ask agent
"Ainsworth Close, London, NW2","£375,000",Flat,2,1,Ask agent
"Aboyne Drive, Raynes Park, SW20","£375,000",Apartment,1,N/A,Ask agent
"Davisville Road, Shepherds Bush","£375,000",Flat,1,1,Ask agent
"Brixton Station Road, London, SW9","£375,000",Apartment,2,1,Ask agent
"Capworth Street, Leyton, London, E10","£375,000",Flat,2,1,Ask agent
"Sky View Tower, 12 High Street, Stratford, London, E15","£375,000",Apartment,1,1,581 sq ft
"Ongar Road, London","£375,000",Studio,N/A,1,Ask agent
"Lordship Lane, London","£375,000",Flat,2,1,Ask agent
"Tooting High Street, London, SW17","£375,000",Apartment,2,1,Ask agent
"Forest Road, Walthamstow","£375,000",Apartment,1,1,465 sq ft
"Windsor Road, Ealing","£375,000",Flat,1,1,Ask agent
"City Road, London, EC1","£375,000",Flat,1,1,417 sq ft
"Ballards Lane, Finchley","£375,000",Flat,1,1,Ask agent
"Ridley Court, Barrow Road, Streatham, SW16","£375,000",Flat,2,1,Ask agent
"Pepys Road, London, SE14","£375,000",Flat,1,1,Ask agent
"Watchfield Court, Sutton Court Road, Chiswick, London, W4","£375,000",Apartment,1,1,535 sq ft
"London Road, Brentford, TW8","£375,000",Flat,2,1,698 sq ft
"Twickenham Road, Isleworth","£375,000",Flat,1,1,Ask agent
"Dene Court, Hanwell, W7","£375,000",Apartment,2,1,Ask agent
"Coppetts Road, Muswell Hill","£375,000",Flat,2,1,Ask agent
"4 Royal House, Church Road, Leyton, E10","£375,000",Flat,2,1,Ask agent
"Shingly Place, London","£375,000",Flat,2,2,Ask agent
"Corfield Street, Bethnal Green, E2","£375,000",Apartment,1,1,552 sq ft
"Holmesdale Road, South Norwood","£375,000",Apartment,2,1,Ask agent
"Hannaford Walk, London, E3","£375,000",Apartment,1,1,Ask agent
"Ollgar Close, Shepherds Bush","£375,000",Flat,1,1,Ask agent
"Naval House, London","£375,000",Flat,1,1,Ask agent
"Rosebank Way, Acton","£375,000",Flat,2,1,657 sq ft
"Waterline Way, London, SE8","£375,000",Flat,1,1,561 sq ft
"Lordship Road, Stoke Newington, London, N16","£375,000",Flat,1,1,439 sq ft
"Commercial Road  , London, E14","£375,000",Apartment,1,1,497 sq ft
"Pendant Court, 4 Shipwright Street, London, E16","£375,000",Apartment,1,1,570 sq ft
"Merryweather Place, Greenwich, SE10","£375,000",Apartment,1,1,Ask agent
"Essian Street, Stepney, London, E1","£375,000",Flat,1,1,537 sq ft
"Stanley Road, Acton Gardens","£375,000",Flat,1,1,Ask agent
"Barrow Walk, Brentford","£375,000",Flat,2,1,775 sq ft
"Richmond Road, East Twickenham","£375,000",Flat,1,1,Ask agent
"Loughborough Park, Brixton","£375,000",Apartment,1,1,Ask agent
"Curtis Drive, Acton, London, W3","£375,000",Flat,2,1,563 sq ft
"Landor Road, London","£375,000",Terraced,1,1,Ask agent
"Zenith Building, Commercial Road, E14","£375,000",Apartment,1,1,500 sq ft
"Lewisham Hill, London","£375,000",Apartment,2,1,Ask agent
"22 Nantes Close, London, SW18","£375,000",Flat,1,1,Ask agent
"New Cross Road, London, SE14","£375,000",Flat,1,1,Ask agent
"Great North Way, Hendon NW4","£375,000",Apartment,3,1,Ask agent
"Connaught Mews, Woolwich SE18 6SU","£375,000",Apartment,2,1,689 sq ft
"Colney Hatch Lane, London","£375,000",Flat,3,1,Ask agent
"Lankaster Gardens, East Finchley, N2","£375,000",Apartment,2,1,691 sq ft
"Fenwick Road, Peckham Rye, London, SE15","£375,000",Apartment,1,1,Ask agent
"Dulwich, London","£375,000",Flat,1,1,Ask agent
"Adenmore Rd, Catford, London, SE6 4FD","£375,000",Flat,2,1,Ask agent
"Roche House, Canary Wharf, London, E14","£375,000",Flat,2,1,596 sq ft
"Roundwood Road, London, NW10 9UL","£375,000",Flat,2,1,Ask agent
"Northfield Avenue, London, W13","£375,000",Flat,1,1,Ask agent
"Wesley Avenue, London, E16","£375,000",Apartment,2,N/A,581 sq ft
"Streatley Road, London","£375,000",Flat,1,1,562 sq ft
"50 Hammersley Road, London, E16","£375,000",Flat,2,2,Ask agent
"Oxford Road, London, W5","£375,000",Flat,1,1,453 sq ft
"London Road, London","£375,000",Apartment,1,1,Ask agent
"New Cross Road, London, SE14","£375,000",Flat,1,1,Ask agent
